osmid,latitude,longitude
42424334,40.7211998,-74.0079995
42424347,40.7209099,-74.0078146
42424354,40.7208183,-74.0075453
42424408,40.7219848,-74.0082309
42424439,40.7916653,-73.9646868
42424521,40.706675,-74.0142358
42424531,40.8295922,-73.9352284
42424551,40.8305583,-73.9356498
42424576,40.8304897,-73.9362839
42424610,40.7206456,-74.008466
42424619,40.7237578,-74.0079297
42424630,40.7244054,-74.0070994
42424641,40.7146116,-73.9768601
42424672,40.7593082,-73.9592519
42424679,40.820283,-73.959539
42424698,40.8232976,-73.9570228
42424701,40.8197265,-73.9601312
42424703,40.8186803,-73.9610583
42424706,40.8180007,-73.9618103
42424757,40.8069238,-73.9355687
42424758,40.806716,-73.934989
42424773,40.7573509,-73.9950492
42424789,40.7576654,-73.9948115
42424851,40.784623,-73.9698495
42424864,40.7244132,-74.0059302
42424937,40.8105617,-73.967223
42425088,40.8176607,-73.9610256
42425100,40.715649,-73.977917
42425127,40.791722,-73.952984
42425188,40.7856571,-73.98426
42425232,40.7923746,-73.9641691
42425242,40.8203291,-73.9596517
42425348,40.7955013,-73.9760329
42425417,40.8283867,-73.93488
42425425,40.8156499,-73.9344467
42425484,40.8150259,-73.9343624
42425570,40.7941945,-73.9628627
42425681,40.7993084,-73.9291241
42425747,40.803474,-73.9312445
42425758,40.8310339,-73.9359788
42425780,40.8668641,-73.9309781
42425945,40.785664,-73.9847324
42425955,40.714372,-74.00044
42425959,40.8692662,-73.9318334
42426060,40.7239092,-74.0075216
42426089,40.723454,-74.0074947
42426135,40.8039448,-73.9323547
42426374,40.7982184,-73.9523894
42426418,40.7602377,-73.9514971
42426420,40.7605289,-73.9513774
42426665,40.8341389,-73.9370767
42426747,40.7024415,-74.0128371
42426799,40.8023907,-73.9303177
42426805,40.79239,-73.9368087
42426810,40.8349981,-73.9354595
42426816,40.7472719,-73.9758369
42426851,40.74693,-73.9692725
42426865,40.7373813,-73.9745237
42426875,40.7369806,-73.9748941
42426928,40.7624373,-73.9479808
42426931,40.7629702,-73.9490982
42426957,40.8063093,-73.9348385
42426968,40.8179052,-73.9342568
42426971,40.8187778,-73.934348
42427009,40.7904084,-73.9367296
42427012,40.7896936,-73.9373914
42427016,40.847737,-73.9311538
42427030,40.7652791,-73.9521298
42427036,40.7665113,-73.9510319
42427070,40.756636,-73.955814
42427086,40.8353715,-73.9441039
42427112,40.8363811,-73.9445746
42427115,40.8370771,-73.9442977
42427122,40.8377866,-73.9440172
42427126,40.8384634,-73.9437512
42427128,40.839174,-73.943465
42427133,40.840193,-73.943066
42427136,40.842154,-73.942279
42427139,40.84281,-73.942013
42427143,40.843443,-73.9416398
42427146,40.844049,-73.941142
42427150,40.844686,-73.940795
42427152,40.845369,-73.940518
42427156,40.846048,-73.940241
42427159,40.846519,-73.940061
42427164,40.84721,-73.939779
42427168,40.847838,-73.939524
42427185,40.8499781,-73.9386594
42427190,40.850909,-73.938284
42427196,40.852128,-73.937819
42427206,40.85338,-73.937435
42427212,40.855125,-73.9369033
42427216,40.857109,-73.935602
42427236,40.7116883,-74.0058474
42427242,40.710185,-74.0042501
42427249,40.706993,-74.0064696
42427251,40.706375,-74.005691
42427254,40.7059974,-74.0052131
42427256,40.7054111,-74.0044746
42427278,40.7136499,-74.0036256
42427290,40.7142983,-74.0026161
42427300,40.7151767,-74.0021357
42427305,40.7157471,-74.0016907
42427307,40.71693,-74.000818
42427311,40.717619,-74.000274
42427316,40.718016,-73.9999554
42427319,40.7186723,-73.9994292
42427322,40.718913,-73.999234
42427324,40.7198029,-73.9985112
42427327,40.720836,-73.997655
42427335,40.7152176,-73.9842518
42427337,40.7161377,-73.9836386
42427340,40.7166776,-73.9833624
42427345,40.717175,-73.9831071
42427346,40.7183141,-73.9825206
42427352,40.7194672,-73.981927
42427358,40.7206493,-73.9813183
42427369,40.7396792,-73.9909583
42427371,40.7410305,-73.9941671
42427374,40.742228,-73.997007
42427381,40.7434266,-73.9998517
42427386,40.7446399,-74.0027323
42427390,40.745816,-74.005535
42427393,40.746795,-74.0078599
42427411,40.708135,-74.0166314
42427412,40.708457,-74.017398
42427423,40.7435682,-73.9923179
42427426,40.744765,-73.9951595
42427427,40.7459612,-73.998
42427477,40.7471747,-74.0008813
42427483,40.748355,-74.003684
42427494,40.7502706,-74.0082929
42427504,40.8716544,-73.9112343
42427507,40.8722414,-73.9126036
42427519,40.8123183,-73.9522263
42427523,40.81294,-73.95177
42427531,40.813567,-73.951322
42427538,40.814187,-73.95086
42427649,40.8179231,-73.9497399
42427735,40.821494,-73.9485379
42427742,40.714251,-73.9808938
42427744,40.7135531,-73.9808346
42427750,40.7115207,-73.9806225
42427762,40.76366,-73.973464
42427764,40.7639334,-73.974111
42427768,40.855598,-73.927319
42427769,40.856182,-73.928716
42427773,40.8566083,-73.9297266
42427780,40.857841,-73.932043
42427782,40.858113,-73.932983
42427786,40.745301,-73.986846
42427787,40.7460455,-73.9886122
42427797,40.746659,-73.990067
42427805,40.7478553,-73.9929106
42427812,40.7490521,-73.9957492
42427817,40.7502567,-73.998626
42427821,40.7514485,-74.0014254
42427824,40.7526457,-74.0042703
42427828,40.75379,-74.0070337
42427834,40.8134293,-73.9371437
42427844,40.8621121,-73.9300037
42427846,40.8622107,-73.9296676
42427849,40.8626215,-73.9286059
42427852,40.862926,-73.927766
42427855,40.863238,-73.926923
42427859,40.863575,-73.926011
42427863,40.864403,-73.923767
42427867,40.8651,-73.921884
42427870,40.865797,-73.919996
42427873,40.866315,-73.918596
42427877,40.866813,-73.917205
42427881,40.8272063,-73.9424535
42427883,40.827823,-73.941997
42427888,40.828447,-73.94154
42427891,40.829083,-73.941078
42427894,40.830292,-73.9402243
42427915,40.7820374,-73.9717336
42427926,40.8745523,-73.9096352
42427934,40.8746713,-73.9110993
42427936,40.8750497,-73.9122655
42427939,40.8756706,-73.9128004
42427956,40.7045537,-74.0094775
42427965,40.759913,-73.958809
42427968,40.7605433,-73.9583477
42427970,40.7611623,-73.9579282
42427972,40.7617963,-73.9574532
42427975,40.7624221,-73.9569952
42427979,40.7630478,-73.9565374
42427985,40.7636674,-73.956084
42427991,40.7642963,-73.9556238
42427996,40.7649208,-73.9551668
42428003,40.765554,-73.9547034
42428005,40.7661805,-73.9542449
42428007,40.7668593,-73.9537482
42428010,40.7675414,-73.953249
42428012,40.7681847,-73.9527843
42428013,40.7688236,-73.9523229
42428014,40.7694526,-73.9518686
42428015,40.7700762,-73.9514149
42428016,40.7707103,-73.9509381
42428020,40.7714021,-73.9504368
42428022,40.7720657,-73.9499424
42428024,40.7727099,-73.9494729
42428027,40.773343,-73.9490092
42428029,40.7739762,-73.9485506
42428032,40.7746141,-73.9480817
42428034,40.7752458,-73.9476241
42428037,40.775929,-73.947122
42428039,40.7766012,-73.9466301
42428043,40.7772273,-73.9461727
42428045,40.7778572,-73.9457131
42428047,40.7784828,-73.9452574
42428049,40.779146,-73.9447758
42428052,40.7797706,-73.9443355
42428061,40.7812798,-73.9759984
42428063,40.7824641,-73.9788209
42428065,40.7832069,-73.9805809
42428068,40.7836627,-73.9816684
42428072,40.784357,-73.9833075
42428080,40.8474237,-73.9313827
42428082,40.848038,-73.932849
42428086,40.848626,-73.934239
42428090,40.849145,-73.935471
42428094,40.849541,-73.936397
42428103,40.8501784,-73.9396399
42428107,40.8503746,-73.940603
42428114,40.848223,-73.9414149
42428124,40.8513418,-73.9402247
42428130,40.854677,-73.938652
42428134,40.8556043,-73.9379223
42428144,40.8573519,-73.936584
42428170,40.7371276,-73.9903368
42428174,40.7378047,-73.9901393
42428179,40.7384811,-73.9899303
42428183,40.7391686,-73.9897346
42428192,40.7398515,-73.9895526
42428198,40.7405854,-73.9893589
42428201,40.7413706,-73.9891329
42428206,40.7422193,-73.9891036
42428212,40.7430453,-73.9891678
42428216,40.7438037,-73.9890293
42428220,40.7445356,-73.9888931
42428223,40.7452886,-73.9887531
42428227,40.7468077,-73.9884704
42428232,40.7475512,-73.9883321
42428253,40.7506824,-73.9878205
42428258,40.751444,-73.9876732
42428264,40.7521844,-73.9875229
42428268,40.7529083,-73.9873363
42428272,40.753627,-73.987107
42428277,40.754331,-73.9868871
42428283,40.755051,-73.9866613
42428287,40.7558122,-73.9864171
42428297,40.7579634,-73.9855335
42428303,40.7594263,-73.9851384
42428305,40.7601316,-73.9848631
42428307,40.7608012,-73.9845109
42428308,40.7614503,-73.9840983
42428310,40.7620858,-73.9836782
42428312,40.7627246,-73.9832662
42428313,40.763382,-73.9829033
42428315,40.764058,-73.9825176
42428321,40.7647568,-73.9822627
42428328,40.7654683,-73.9820384
42428329,40.7663007,-73.9818927
42428332,40.7671415,-73.981762
42428345,40.7045956,-74.014223
42428365,40.7058713,-74.0132769
42428368,40.7074505,-74.0119439
42428371,40.7082967,-74.0112329
42428373,40.7085817,-74.0109934
