,,osmid,name,highway,maxspeed,oneway,length,geometry,hour_of_day,speed_kph_mean,speed_kph_stddev,est_width
29492993,29492995,24295532,Emmentaler Straße,secondary,50,False,129.079,"LINESTRING (13.3580716 52.5695041, 13.3579562 52.5694681, 13.3568537 52.569128, 13.3565641 52.5690376, 13.3563688 52.5689784)",9,38.574,6.074,
458330,26708458,4434508,,motorway_link,50,True,168.607,"LINESTRING (13.2862166 52.5115569, 13.2863885 52.5116417, 13.2864372 52.5118062, 13.2865728 52.5124133, 13.2866491 52.5125379, 13.2867739 52.5126735, 13.2868394 52.5127584, 13.2868807 52.5128473, 13.2868865 52.5128805, 13.286881 52.5129743)",9,22.893,11.852,
458330,458334,227985278,,motorway,60,True,302.682,"LINESTRING (13.2862166 52.5115569, 13.2863692 52.5121595, 13.2864659 52.5126734, 13.2865433 52.5133579, 13.2865211 52.5140104, 13.2864666 52.5142646)",7,61.008,17.315,
484078,267399134,31783558,,motorway_link,80,True,254.096,"LINESTRING (13.2953729 52.5396169, 13.2954109 52.5396918, 13.2956378 52.540139, 13.2963273 52.541435, 13.2964329 52.5416791, 13.2963939 52.541801)",9,54.841,8.679,
484078,130088130,31783561,Heckerdamm,tertiary,30,False,88.805,"LINESTRING (13.2953729 52.5396169, 13.2955206 52.5396103, 13.2955888 52.5396066, 13.2966793 52.5395368)",7,34.434,6.144,
130088130,484078,31783561,Heckerdamm,tertiary,30,False,88.805,"LINESTRING (13.2966793 52.5395368, 13.2955888 52.5396066, 13.2955206 52.5396103, 13.2953729 52.5396169)",9,10.902,8.056,
484082,4584515687,28658008,,motorway,80,True,141.168,"LINESTRING (13.2994775 52.5465246, 13.2997873 52.546937, 13.2998801 52.5470521, 13.3003809 52.547669)",7,76.497,12.127,
484102,27216277,4706699,,motorway,80,True,216.041,"LINESTRING (13.2843518 52.5163525, 13.2844964 52.5161253, 13.2846129 52.5158959, 13.2848188 52.5154095, 13.2850012 52.5149169, 13.2851559 52.5144749)",8,58.982,21.944,
27216277,484107,233763053,,motorway,80,True,422.496,"LINESTRING (13.2851559 52.5144749, 13.2852311 52.5142934, 13.285341 52.5139027, 13.2854554 52.5133782, 13.2854976 52.513024, 13.2855252 52.5125303, 13.2854976 52.5120809, 13.2854371 52.5115786, 13.2853761 52.5113358, 13.2853028 52.5111141, 13.2852224 52.5109482, 13.2850888 52.5107227)",9,62.695,17.836,
484110,487673623,24844237,,motorway_link,60,True,128.55700000000002,"LINESTRING (13.283215 52.5081564, 13.2830483 52.5081132, 13.2828239 52.5079012, 13.2826107 52.5077577, 13.2824051 52.5076737, 13.2822285 52.5076386, 13.2820624 52.507641, 13.2819171 52.5076514, 13.2817952 52.5076824, 13.2816957 52.5077082)",7,44.311,5.865,
484110,26662459,334005608,,motorway,80,True,157.48600000000002,"LINESTRING (13.283215 52.5081564, 13.2830323 52.5079134, 13.2828559 52.5076871, 13.2826317 52.507385, 13.2824197 52.5070521, 13.2822815 52.5068596)",8,61.707,15.322,
487673623,487689287,42675095,,motorway_link,60,False,164.095,"LINESTRING (13.2816957 52.5077082, 13.2816046 52.5077799, 13.2815319 52.50785, 13.2814734 52.5079548, 13.2814666 52.5080711, 13.2815122 52.508203, 13.2816162 52.5083754, 13.2817496 52.5085804, 13.2818154 52.508743, 13.28185 52.5088701, 13.2818467 52.50911)",8,36.449,9.822,
484119,267398957,28658009,,motorway,80,True,217.492,"LINESTRING (13.2972841 52.5438613, 13.2964766 52.5423457, 13.2963076 52.5419978)",7,57.529,20.488,
267398957,267385837,28658024,,motorway,80,True,612.8650000000001,"LINESTRING (13.2963076 52.5419978, 13.2959116 52.5412103, 13.295162 52.5398542, 13.2949617 52.539446, 13.2943441 52.5383115, 13.2939295 52.5375563, 13.2935546 52.5368855, 13.2934692 52.5367645)",8,52.042,27.71,
530176,29689182,40816558,Kurt-Schumacher-Damm,primary,50,True,12.566,"LINESTRING (13.3261419 52.5616065, 13.3262336 52.5617048)",9,29.652,11.771,
29689182,27197159,283022991,Kurt-Schumacher-Damm,primary,50,True,89.366,"LINESTRING (13.3262336 52.5617048, 13.32641 52.5619209, 13.3266098 52.5623272, 13.3266338 52.562376, 13.3266513 52.5624133, 13.3266732 52.5624601)",8,23.468,11.661,
530177,186969527,27606890,Kapweg,primary,50,True,15.218,"LINESTRING (13.3267151 52.562555, 13.3265022 52.5625105)",7,26.436,5.563,
530197,26871244,114658391,Kurt-Schumacher-Damm,secondary,50,True,158.99099999999999,"LINESTRING (13.307804 52.556452, 13.3072985 52.5559224, 13.3067168 52.5553049, 13.3066302 52.555213)",9,46.751,14.625,
26871244,530199,114658391,Kurt-Schumacher-Damm,secondary,50,True,69.285,"LINESTRING (13.3066302 52.555213, 13.306592 52.5551726, 13.3061189 52.554673)",7,47.635,13.432,
530215,530311,172432948,Lindauer Allee,secondary,50,True,9.42,"LINESTRING (13.3478076 52.574399, 13.3476729 52.5744208)",7,32.972,7.861,
530215,530283,25788143,Roedernallee,primary,50,True,156.83599999999998,"LINESTRING (13.3478076 52.574399, 13.347841 52.5745012, 13.3479024 52.5751787, 13.3479098 52.5752509, 13.3479169 52.5754061, 13.3479285 52.575669, 13.3479301 52.575706, 13.3479332 52.5758061)",7,29.946,12.609,
530311,186962583,172432951,,primary,50,True,14.357,"LINESTRING (13.3476729 52.5744208, 13.3477032 52.574293)",7,32.227,6.316,
530283,530293,25788143,Roedernallee,primary,50,True,181.30999999999997,"LINESTRING (13.3479332 52.5758061, 13.3479327 52.5759029, 13.3479378 52.5760011, 13.3479926 52.576841, 13.3480022 52.5771399, 13.347968 52.5773624, 13.3479569 52.5774346)",9,40.693,7.688,
602926406,27177936,4071975,Müllerstraße,primary,50,True,435.455,"LINESTRING (13.337447 52.5586128, 13.3375447 52.5585575, 13.3392523 52.5575904, 13.3397286 52.5573207, 13.3398467 52.5572538, 13.3399847 52.5571756, 13.3405712 52.5568435, 13.3409356 52.5566371, 13.3419027 52.5560894, 13.3419833 52.5560437, 13.3420369 52.5560134, 13.3421602 52.5559435)",9,44.284,7.33,
602926393,29686287,47347069,Petersallee,residential,30,False,66.161,"LINESTRING (13.3367151 52.5582372, 13.3360442 52.557804)",9,38.26,8.566,
530247,29691244,39965424,Ollenhauerstraße,secondary,50,True,112.534,"LINESTRING (13.3315134 52.5735131, 13.3315417 52.5735951, 13.331852 52.574504)",8,44.557,8.201,
29691244,29691228,39965425,Ollenhauerstraße,secondary,50,True,102.65200000000002,"LINESTRING (13.331852 52.574504, 13.3319884 52.5748875, 13.3321306 52.5752789, 13.3321464 52.5753203, 13.3321633 52.5753579, 13.3321817 52.5754051)",7,41.739,15.621,
530256,29690659,4801745,Humboldtstraße,tertiary,,False,13.336,"LINESTRING (13.3300067 52.5692466, 13.3298131 52.5692234)",9,29.074,9.596,
530256,6019010074,161241449,Ollenhauerstraße,secondary,50,True,41.759,"LINESTRING (13.3300067 52.5692466, 13.3300833 52.5694672, 13.3301339 52.5696141)",9,44.486,8.496,
6019010074,6019010076,161241449,Ollenhauerstraße,secondary,50,True,107.69,"LINESTRING (13.3301339 52.5696141, 13.3302882 52.5700624, 13.3303827 52.5703369, 13.330459 52.5705426, 13.3304659 52.5705613)",9,49.259,6.61,
530262,172564,31740454,Kurt-Schumacher-Platz,secondary,50,True,14.278,"LINESTRING (13.3278399 52.5641459, 13.3277078 52.5640457)",8,37.843,10.447,
530293,74416800,25788143,Roedernallee,primary,50,True,60.905,"LINESTRING (13.3479569 52.5774346, 13.3478961 52.5775973, 13.3477191 52.5778816, 13.347659 52.5779493)",8,30.349,14.585,
74416800,530309,4594894,Roedernallee,primary,50,True,235.703,"LINESTRING (13.347659 52.5779493, 13.3476818 52.5778692, 13.3478189 52.577388, 13.3478169 52.5771281, 13.3478013 52.5768485, 13.3477519 52.5759856, 13.3477501 52.5759534, 13.3477435 52.5758387)",7,31.755,14.007,
186962583,530215,172432950,,primary_link,50,True,13.737,"LINESTRING (13.3477032 52.574293, 13.3478076 52.574399)",7,31.92,11.243,
530312,28345850,4581788,Aroser Allee,secondary,50,True,19.683,"LINESTRING (13.3514095 52.5674533, 13.351325 52.5676227)",7,34.105,14.917,
530312,172546,24295533,Emmentaler Straße,secondary,50,True,65.923,"LINESTRING (13.3514095 52.5674533, 13.3515167 52.5674835, 13.3520223 52.5676258, 13.352101 52.567648, 13.3522545 52.567738)",8,38.747,6.956,
530319,27177313,27606690,Scharnweberstraße,secondary,50,True,129.327,"LINESTRING (13.3164761 52.5669024, 13.316255 52.566955, 13.3146942 52.5673262)",9,47.45,6.713,
27177313,27177314,27606690,Scharnweberstraße,secondary,50,True,105.201,"LINESTRING (13.3146942 52.5673262, 13.314323 52.5674144, 13.3132493 52.567678)",7,43.357,9.153,
530323,29492995,24295532,Emmentaler Straße,secondary,50,False,126.262,"LINESTRING (13.3547004 52.5684675, 13.3563688 52.5689784)",8,44.583,5.683,
29492995,530323,24295532,Emmentaler Straße,secondary,50,False,126.262,"LINESTRING (13.3563688 52.5689784, 13.3547004 52.5684675)",7,44.537,8.588,
29492995,29492993,24295532,Emmentaler Straße,secondary,50,False,129.079,"LINESTRING (13.3563688 52.5689784, 13.3565641 52.5690376, 13.3568537 52.569128, 13.3579562 52.5694681, 13.3580716 52.5695041)",7,32.66,14.581,
530340,530312,24295533,Emmentaler Straße,secondary,50,True,18.877,"LINESTRING (13.3511359 52.5674192, 13.3514095 52.5674533)",8,34.558,11.857,
530340,34694348,57936174,Aroser Allee,secondary,50,True,169.74,"LINESTRING (13.3511359 52.5674192, 13.3511775 52.5673337, 13.3514181 52.5668383, 13.3518359 52.5659532)",8,47.952,6.237,
34694348,28255156,57936174,Aroser Allee,secondary,50,True,184.026,"LINESTRING (13.3518359 52.5659532, 13.3524844 52.5645495, 13.3525723 52.5643599)",9,50.775,7.386,
27197164,172562,4804204,,secondary,50,True,15.732,"LINESTRING (13.3305811 52.562479, 13.3306441 52.5626152)",9,36.711,12.97,
27197164,280979719,28427117,Scharnweberstraße,primary,30,True,86.919,"LINESTRING (13.3305811 52.562479, 13.3307073 52.562398, 13.3314794 52.561972, 13.3315244 52.5619482)",8,34.673,7.275,
12614600,29270276,4615465,Landsberger Allee,primary,50,True,24.987000000000002,"LINESTRING (13.4477657 52.5265215, 13.4476966 52.5264971, 13.4476458 52.5264791, 13.4476207 52.5264702, 13.4475794 52.5264567, 13.4475527 52.5264477, 13.4474977 52.526429, 13.4474442 52.5264109)",8,39.141,10.404,
