,y,x,street_count,ref,highway
287650997,52.5482318,13.4399766,3,,
5896652502,52.5464337,13.4412386,3,,
29269503,52.5463239,13.4381444,4,,
16541709,52.5530546,13.4493277,3,,
16541708,52.5531291,13.4487952,3,,
16541713,52.5592851,13.4550323,4,,
29779132,52.5599531,13.4558547,3,,
2522309272,52.5578412,13.4524061,3,,
17777144,52.5115929,13.3052216,4,,
26736187,52.5114307,13.3052529,4,,
17777145,52.5118617,13.3093302,4,,
26736188,52.5116932,13.309318,4,,
27409541,52.5135678,13.3095241,4,,
20246072,52.4057391,13.5566095,3,,motorway_junction
249068814,52.4039464,13.5537326,3,,
20246105,52.4972413,13.4644327,3,,
418948263,52.4966654,13.4638937,3,,
20246107,52.4974197,13.4646667,5,,
20246112,52.5026953,13.4465749,4,,
29275987,52.5026374,13.446801,4,,
20246123,52.5128301,13.4656389,4,,
1410036215,52.5130035,13.463926,4,,
20246125,52.5126895,13.4669903,4,,
1411289036,52.5125412,13.468463,4,,
20246248,52.5143633,13.467463,4,,
20246126,52.5122806,13.4712105,4,,
1791505420,52.512122,13.4728637,4,,traffic_signals
26960750,52.5123949,13.4700864,4,,
20246137,52.509682,13.4673735,4,,
1822518681,52.5110034,13.4686854,4,,
29785848,52.5099802,13.4665969,3,,
20246138,52.5077027,13.4654118,4,,
276589705,52.5086163,13.4662941,4,,traffic_signals
20246140,52.506945,13.4686148,3,,
2467429075,52.5070786,13.4683749,3,,
20246145,52.5026688,13.4754465,3,,
29803511,52.5027246,13.4752711,3,,
20246160,52.5019813,13.4753885,3,,
20246181,52.4925212,13.4603854,3,,
29787110,52.4928356,13.4593985,4,,
20246203,52.4843515,13.4791776,3,,
20246202,52.4847516,13.4792742,3,,
20246240,52.4558,13.5108966,3,,
28255945,52.4561788,13.5111099,3,,
28150292,52.514512,13.4675,4,,
20246257,52.5156494,13.3890366,4,,
25662705,52.5157487,13.3909354,4,,
2071423335,52.5149329,13.3891573,2,,
20246260,52.5085207,13.3696078,3,,
162070833,52.5073594,13.368887,3,,
20246262,52.5062815,13.3683612,4,,
4182868866,52.5061088,13.3682612,3,,
73691054,52.5060458,13.3638784,3,,
20246266,52.5063755,13.3522077,4,,
26745282,52.506302,13.3519307,3,,
26874404,52.5065242,13.352187,3,,
20246267,52.5030882,13.349579,4,,
26866513,52.5029846,13.3500307,4,,
20246271,52.50539,13.3340022,3,,
1643364374,52.5050442,13.3376536,3,,
20246274,52.5081789,13.3283011,4,,
26760192,52.508053,13.3282292,4,,
20246276,52.5067041,13.3024325,4,,
26736159,52.5068466,13.3023929,4,,
20246279,52.4961614,13.3081945,4,,
26740530,52.4961941,13.3083587,4,,
26787011,52.4953362,13.3084815,4,,
21306260,52.4934215,13.4281974,4,,
637672657,52.4935848,13.4277179,3,,
1055526422,52.4927145,13.4303836,3,,
27555123,52.4926446,13.4280176,3,,
21306262,52.4955536,13.4302949,4,,
21306263,52.4973441,13.4320663,3,,
318549154,52.4975821,13.4314012,3,,
21306264,52.4964949,13.4345735,3,,
21306265,52.4957264,13.4368165,3,,
157467505,52.4950044,13.4389412,3,,
21306267,52.4944131,13.44068,3,,
21385723,52.5047045,13.4656543,3,,
1813974098,52.5053081,13.4646059,3,,
21385724,52.505424,13.4666233,4,,
1669237254,52.5062559,13.4656511,3,,
21385796,52.5357117,13.4067469,4,,
26753059,52.5343024,13.4081366,4,,
3095250668,52.5363122,13.4064397,3,,
21385800,52.5401877,13.4114187,3,,
98983781,52.5401375,13.4120043,4,,
21385810,52.5414868,13.4228141,4,,
27484589,52.5409897,13.4251266,3,,
21385812,52.5396762,13.4216873,4,,
1599974865,52.5395042,13.4215453,4,,
21385814,52.5401464,13.4186521,3,,
21385816,52.5420333,13.4203371,4,,
21385817,52.5418058,13.4213214,3,,
266594444,52.5427224,13.418671,3,,
21432647,52.460749,13.5035047,4,,
28341799,52.4606575,13.5036351,4,,
21432671,52.4643569,13.512114,3,,
2427832581,52.4643116,13.5118363,3,,
1354122705,52.4644991,13.5129554,3,,
21432798,52.5253912,13.4198174,4,,
29123438,52.5251729,13.4195773,4,,
21432799,52.5221923,13.4164399,4,,
29221586,52.5220284,13.4162698,4,,
21432801,52.5207929,13.4153671,4,,
735967920,52.5209746,13.415133,3,,
21432802,52.5218825,13.4165227,4,,
29221583,52.5220587,13.4167149,4,,
21432815,52.527177,13.4156817,4,,
29123432,52.5269217,13.4154048,4,,
21441699,52.5571131,13.365458,4,,
21441700,52.5568203,13.3655124,4,,
28254758,52.5568316,13.3657124,4,,
29489364,52.5678789,13.3621095,3,,
21441714,52.5907607,13.3710101,4,,
30432116,52.5893618,13.369866,4,,
561503519,52.592326,13.3722444,3,,
223825928,52.5907687,13.3713869,3,,
21441715,52.5872103,13.3681785,3,,
30432115,52.5879531,13.3687706,4,,
21441716,52.5855183,13.3668099,4,,
30432125,52.5848745,13.3663153,4,,
21441718,52.5742482,13.3591644,4,,
538421406,52.5742604,13.3603935,3,,
21441719,52.5469586,13.3429735,3,,
27197233,52.5474881,13.3422763,3,,
21441721,52.5503475,13.3391289,5,,
27197222,52.5511402,13.3403358,3,,
29141701,52.551462,13.3381092,4,,
28961194,52.5500884,13.3387179,3,,
21441722,52.5525491,13.3368773,4,,
29686217,52.5514057,13.3379717,3,,
21441724,52.557433,13.3343962,4,,
3805490107,52.5576337,13.3343312,3,,
21441725,52.5604249,13.3333717,3,,
30301214,52.5608572,13.3334859,4,,
21441726,52.5609364,13.3335789,3,,
29686212,52.5610583,13.3333616,3,,
21441727,52.5534661,13.3662374,4,,
28253036,52.5521485,13.3668928,4,,
21441728,52.5514415,13.3673133,4,,
26755227,52.551554,13.36746,4,,
21441730,52.5539085,13.371576,3,,
59893232,52.5540278,13.3714629,4,,
21441732,52.5536995,13.3771738,4,,
28300055,52.553868,13.3772129,4,,
21441733,52.5521997,13.3814151,4,,
28300103,52.5522829,13.3815663,4,,
21441736,52.5371527,13.3968769,4,,
26752863,52.5375956,13.3965377,4,,
6288237292,52.5369388,13.3969644,3,,
21487101,52.5197046,13.2994926,4,,
26784929,52.5195435,13.2995282,4,,
21487105,52.5184999,13.2829001,4,,
3336866734,52.5179415,13.2831793,3,,
21487113,52.5337589,13.2823728,4,,
26790354,52.5337279,13.2826665,3,,
21487115,52.5339034,13.2824336,4,,
21487141,52.5100795,13.2819066,4,,
26745961,52.5100677,13.2816749,4,,
26785769,52.5109949,13.2818034,4,,
21487142,52.5127291,13.3207884,3,,
26785753,52.5122639,13.3209631,3,,
21487143,52.512905,13.3209501,3,,
21487145,52.5129021,13.3228117,3,,
21487148,52.5130228,13.3226683,3,,
21487146,52.5121802,13.3226484,3,,
21487168,52.5123626,13.3228549,3,,
21487144,52.5132003,13.321936,3,,
21487154,52.5257403,13.3398104,3,,
26726700,52.525802,13.3392838,4,,
325627540,52.5255241,13.3415418,3,,
21487155,52.5224879,13.3672256,4,,
26807728,52.5223663,13.3671854,3,,
26705303,52.5232707,13.3672276,4,,
21487159,52.5220561,13.376497,4,,traffic_signals
29039237,52.5221992,13.3773611,4,,
21487162,52.5271368,13.3869818,4,,
51965345,52.5271662,13.3872152,4,,
3253177078,52.5263744,13.3871438,3,,
26748900,52.5270725,13.3864616,3,,
21487169,52.5146715,13.3490864,4,,
3366747771,52.5141619,13.3492312,3,,
21487171,52.5150633,13.3495809,3,,
21487173,52.5148236,13.3509904,4,,
27011222,52.5151008,13.3504668,3,,
21487180,52.516619,13.3807352,4,,
25662552,52.5163444,13.3808459,3,,
21487185,52.5234235,13.4071965,4,,
27411994,52.5229141,13.4088458,4,,
21487186,52.5245302,13.4079072,4,,
21487191,52.52046,13.4795606,4,,
1679204688,52.5207048,13.4803001,4,,
1828231464,52.520254,13.4772859,3,,
21487194,52.5189324,13.4859059,3,,
21487196,52.5184671,13.4857987,3,,
29796822,52.5195854,13.4859499,3,,
21487195,52.5171724,13.4854669,3,,
29796809,52.515855,13.485117,4,,
3068907325,52.5184496,13.4865873,3,,
21487204,52.5153454,13.4890156,4,,
51997882,52.5152633,13.4898233,4,,
21487209,52.5183639,13.4070838,4,,
4566145594,52.5180924,13.4075515,3,,
21487210,52.5201566,13.40482,4,,
29221504,52.5200437,13.404628,4,,
21487224,52.5154624,13.4179945,4,,
196725581,52.5154139,13.4181699,4,,
21487229,52.5180641,13.4179714,4,,
29215077,52.518005,13.4178129,4,,
21487230,52.5124412,13.4171834,4,,
196724115,52.5135299,13.4176839,3,,
21487234,52.4929812,13.4221795,4,,
268468777,52.4929711,13.4220477,4,,
29790229,52.494091,13.4214836,3,,
21487236,52.4878085,13.4251497,5,,
248386475,52.4876844,13.4255487,4,,
248389154,52.4878645,13.4254124,5,,
21487237,52.4909402,13.4161496,4,,
29789748,52.4910146,13.4162019,4,,
21487242,52.5171545,13.3887787,4,,
25664649,52.5180274,13.3886431,4,,
25662562,52.5169625,13.3857578,4,,
2264199819,52.5168482,13.3888274,4,,
21487243,52.5000971,13.3458809,4,,
26867485,52.5001802,13.346231,3,,
21487244,52.4945146,13.3460957,4,,
26867468,52.4945267,13.3458555,4,,
29063251,52.4950516,13.3462756,3,,
21487246,52.4952604,13.3329273,3,,
26731247,52.4954219,13.331095,4,,
26731250,52.4951138,13.3346198,4,,traffic_signals
21487249,52.4884689,13.3021643,4,,
255561544,52.4884603,13.301982,4,,
255561543,52.4887613,13.3016519,3,,
21487253,52.5016038,13.2789266,3,,
26746007,52.500536,13.2797872,3,,
21487259,52.4792359,13.344855,3,,
26751271,52.4786699,13.3440249,4,,
21487260,52.4768089,13.2810867,4,,
26739109,52.4769196,13.2809524,4,,
21487264,52.4714703,13.3291484,4,,
26627362,52.4725076,13.3287866,3,,
21487265,52.4690364,13.332554,4,,
26848941,52.4689381,13.3324447,4,,
26849072,52.469264,13.3320352,3,,
21487267,52.4889946,13.3449158,4,,
26867476,52.4890189,13.3451384,4,,
28982001,52.4879253,13.3449404,4,,
21487269,52.4944345,13.3610711,4,,
27785840,52.4942493,13.3610498,4,,
27785820,52.4943787,13.3589957,3,,
772829329,52.4957114,13.3611673,3,,
21487270,52.4916095,13.3766414,3,,
235637226,52.4916122,13.3761569,3,,
26952393,52.4914644,13.3767769,4,,
21487271,52.4937846,13.383583,4,,
26952502,52.4925507,13.3794863,4,,
26952386,52.493519,13.3834905,4,,
21487273,52.487361,13.3858851,3,,
27539580,52.4873513,13.3860813,4,,
27432691,52.4859095,13.3858506,3,,
21487274,52.4694868,13.3854966,4,,
359508217,52.4694821,13.3857269,4,,
21487275,52.4727552,13.3664827,4,,
26554159,52.4728309,13.3665684,4,,
26554155,52.4722416,13.3675209,3,,
21487284,52.5113273,13.4017207,3,,
1349673594,52.5117981,13.4026257,3,,
21487285,52.5141235,13.4056675,4,,
29207836,52.513995,13.4058375,4,,
540636326,52.5143535,13.4053608,3,,
29194701,52.5135262,13.4048606,3,,
21509216,52.5087371,13.5613809,4,,
21509219,52.5085889,13.5613322,4,,
29881318,52.5085553,13.5615209,4,,
73801994,52.5071483,13.5614845,4,,
21509248,52.5640716,13.3280349,4,,
21509249,52.5755324,13.3322278,4,,
29690662,52.5755364,13.3320337,4,,
6019010072,52.5765724,13.3325235,3,,
21534656,52.5505166,13.3517376,4,,
26726188,52.5503272,13.352117,4,,
21537083,52.5976461,13.3325059,4,,
21538138,52.5971919,13.3325204,3,,
21537087,52.5543705,13.3452215,4,,
27177929,52.5542791,13.345099,4,,
27177972,52.5549139,13.3460303,3,,
21537094,52.6224039,13.3128887,4,,
2938917979,52.6240254,13.3124009,3,,
21537095,52.4343149,13.4692014,4,,
26723213,52.4343899,13.4690597,4,,
297742375,52.4346179,13.4695677,3,,
21537119,52.5778834,13.3328553,3,,
6019010071,52.5768207,13.3324465,3,,
21537304,52.6142116,13.316644,3,,
642130371,52.6138754,13.3161995,3,,
21537775,52.457358,13.4488715,4,,
1215285213,52.4578068,13.4484504,3,,
21537801,52.4627255,13.4450871,4,,
1679931157,52.4630999,13.4447942,4,,
21537951,52.4454422,13.455173,5,,
34967067,52.4482605,13.4540211,3,,
21537970,52.5824501,13.3342633,3,,
295190979,52.5846733,13.334918,3,,
21538122,52.617609,13.3158743,3,,
21537784,52.6199757,13.3136234,4,,
21538132,52.5873733,13.3348201,4,,
29691794,52.5874956,13.3347949,4,,
21538141,52.4525784,13.4522592,5,,
34967046,52.4525756,13.4520394,4,,
1215285198,52.4533949,13.4517084,3,,
21538151,52.551499,13.3503033,4,,
311181997,52.5514084,13.3501671,3,,
21538157,52.442498,13.4565828,3,,
65052144,52.4425932,13.4565128,3,,
21538158,52.6171232,13.3163653,4,,
21538176,52.5719752,13.3647537,3,,
21538178,52.5714445,13.3634879,4,,
21540755,52.5905869,13.2922576,4,,
29551855,52.5905563,13.2920003,4,,
21540756,52.5920672,13.3060275,3,,
2383000677,52.5919052,13.3048457,3,,
21540758,52.5878725,13.3184921,3,,
29552047,52.5882026,13.3172183,4,,traffic_signals
21540761,52.5881621,13.3399159,4,,
95760103,52.5881239,13.3397604,4,,
21540762,52.5749761,13.3802028,3,,
5799377310,52.5744943,13.3807719,3,,
21540765,52.4631621,13.4541629,3,,
206191220,52.4618012,13.4553887,3,,
21540774,52.4289655,13.5506922,4,,
1976653172,52.4290755,13.5508562,4,,
21590983,52.5154736,13.3280525,3,,
26908815,52.5162163,13.327274,3,,
26977832,52.5140385,13.3307921,3,,
21590986,52.5092223,13.3716709,4,,
26746022,52.5090409,13.3719004,5,,
21669023,52.5225909,13.3796531,4,,
26747947,52.5225312,13.3792818,3,,
26747800,52.5228527,13.3796081,3,,
26747880,52.5216964,13.3797938,3,,
21677248,52.5171736,13.4220462,3,,
29271247,52.5170505,13.4224433,3,,
21677260,52.5142454,13.3359772,4,,
21677261,52.5135851,13.3356428,4,,
21677318,52.5220504,13.348557,3,,
26735641,52.5211745,13.349719,3,,
1131171633,52.5245355,13.3495429,4,,
21677342,52.5194013,13.3708635,3,,
21677344,52.5194024,13.3720379,3,,
26724434,52.5194003,13.3735121,3,,
24985979,52.5485375,13.3834523,3,,
277053958,52.548697,13.3840149,3,,
24985997,52.5494583,13.3867397,4,,
349904567,52.5495706,13.3865361,4,,
24985998,52.5499997,13.3875806,3,,
24986000,52.5500264,13.3878736,3,,
24986004,52.5500998,13.3887686,3,,
24986141,52.5493595,13.3865869,4,,
25661372,52.5114683,13.383428,5,,
271747430,52.5116159,13.3845903,3,,
25661386,52.5145697,13.3862089,3,,
25662542,52.5154509,13.3860575,4,,
25662916,52.5147632,13.3891805,3,,
25661397,52.5166715,13.3858215,4,,
25661963,52.5144594,13.3848023,3,,
262480689,52.5135814,13.3850468,3,,
25661966,52.5136705,13.386368,4,,
25661967,52.5128156,13.386502,4,,
25661969,52.5119242,13.386651,5,,
25662041,52.5110372,13.3867727,3,,
960119785,52.5119246,13.3860098,3,,
25661976,52.5117728,13.3844985,4,,
25663395,52.5102062,13.3873868,4,,
25664713,52.5168431,13.3839531,4,,
2959830775,52.5178432,13.3856101,3,,
25662710,52.5148805,13.3911099,4,,
283039340,52.5139745,13.3912603,3,,
283039344,52.5149974,13.3930327,4,,
25662738,52.5158801,13.3928868,3,,
25663142,52.5113102,13.3916854,4,,
283039343,52.5122291,13.3915501,4,,
25663498,52.5100067,13.3842175,4,,
25663735,52.5093188,13.3882466,3,,
25663401,52.5094384,13.3900548,4,,
25663409,52.5085588,13.3902028,4,,
2098466364,52.5095767,13.3900299,2,,
25663405,52.5095751,13.3919837,4,,
25663407,52.508674,13.392134,4,,
25663747,52.5104641,13.3918317,5,,
25663423,52.5078008,13.3922625,4,,
25663743,52.5080245,13.3902835,3,,
29208249,52.5085203,13.3894208,3,,
25663420,52.5076848,13.390346,4,,
25663469,52.5074274,13.3855255,4,,traffic_signals
3347984840,52.5072495,13.390414,2,,
25663426,52.507915,13.394208,4,,
25663444,52.5069577,13.3943752,4,,
25663429,52.5088027,13.3940615,4,,
29208241,52.5080813,13.3972081,3,,
25663436,52.5096905,13.3939038,3,,
3345707083,52.5098836,13.3968985,3,,
25663440,52.5068347,13.3924431,4,,
25663454,52.506708,13.3905033,4,,crossing
6171409038,52.5070699,13.3982823,4,,
5968114306,52.506253,13.3905745,2,,
25663483,52.506433,13.3860741,3,,traffic_signals
26765334,52.5053659,13.3866239,3,,traffic_signals
25663713,52.511637,13.3966151,3,,
25663714,52.5125049,13.3964582,4,,
29207828,52.5109615,13.3967134,3,,
283039347,52.5123322,13.393465,4,,
29207840,52.5133438,13.3971734,4,,
25663722,52.515233,13.3967476,4,,
